name,latitude,longitude,number_mentions,country
Ephesus,37.941668,27.341021,8,Greece
Epidamium,41.324353,19.457322,7,Greece
Corinth,37.939734,22.932114,6,Greece
Siracusa,37.075244,15.286428,4,Italy
France,46,2,2,
Netherlands,52.25,5.75,1,
England,52.16045,-0.70312,1,
America,39.76,-98.5,1,
Indies,19.38333,-71.21667,1,
Scotland,56,-4,1,
Asia,29.84064,89.29688,1,
Spaine,40,-4,1,Spain
Ireland,53,-8,1,
Poland,52,20,1,
Belgia,50.75,4.5,1,Belgium
Persia,32.099745,54.166473,1,
Greece,39,22,1,
Egean,39,25,1,
